qr_or_mac,voltage_v,voltage_mv,category,status,percentage_estimate,pass_fail,rssi,comment,timestamp
E0:CF:8E:72:A0:A8,2.9,2900,GOOD,GOOD,70.0,True,-66,RSSI -66 | Battery 2.9V,2025-09-17T20:17:09.549407Z
CB:6F:B1:C1:02:E4,2.9,2900,GOOD,GOOD,70.0,True,-65,RSSI -65 | Battery 2.9V,2025-09-17T20:17:09.551407Z
CF:6E:D1:72:87:D7,2.9,2900,GOOD,GOOD,70.0,True,-60,RSSI -60 | Battery 2.9V,2025-09-17T20:17:09.555590Z
C3:D8:87:92:BE:58,2.9,2900,GOOD,GOOD,70.0,True,-53,RSSI -53 | Battery 2.9V,2025-09-17T20:17:09.560625Z
DA:78:D9:E2:81:4D,2.9,2900,GOOD,GOOD,70.0,True,-58,RSSI -58 | Battery 2.9V,2025-09-17T20:17:09.562591Z
CB:B8:35:E0:81:74,2.9,2900,GOOD,GOOD,70.0,True,-55,RSSI -55 | Battery 2.9V,2025-09-17T20:17:09.567591Z
E0:FD:98:3B:F5:A6,2.9,2900,GOOD,GOOD,70.0,True,-64,RSSI -64 | Battery 2.9V,2025-09-17T20:17:09.573575Z
FE:5F:57:43:B6:85,2.9,2900,GOOD,GOOD,70.0,True,-61,RSSI -61 | Battery 2.9V,2025-09-17T20:17:09.576574Z
C8:2E:C7:D6:43:D1,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-17T20:17:09.577703Z
C4:0C:1C:02:6B:06,2.9,2900,GOOD,GOOD,70.0,True,-69,RSSI -69 | Battery 2.9V,2025-09-17T20:17:09.580578Z
D2:C0:C5:D3:CC:32,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-17T20:17:09.581673Z
D7:0A:76:7B:13:9E,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-17T20:17:09.582573Z
EA:FD:1D:2A:4F:B7,2.9,2900,GOOD,GOOD,70.0,True,-62,RSSI -62 | Battery 2.9V,2025-09-17T20:17:09.590590Z
DE:F0:2A:56:11:2C,2.9,2900,GOOD,GOOD,70.0,True,-60,RSSI -60 | Battery 2.9V,2025-09-17T20:17:09.594598Z
E6:EE:0F:75:9E:56,3.0,3000,NEW,GOOD,0,True,-70,RSSI -70 | Battery 3.0V,2025-09-17T20:17:09.648720Z
